32-1-8-26 ποίας
32-1-8-27 χώρας,
32-1-8-28 καὶ
32-1-8-29 ἐκ
32-1-8-30 ποίου
32-1-8-31 λαοῦ
32-1-8-32 εἶ
32-1-8-33 σύ;
32-1-9-1 Καὶ
32-1-9-2 εἶπεν
32-1-9-3 πρὸς
32-1-9-4 αὐτούς·
32-1-9-5 δοῦλος
32-1-9-6 Κυρίου
32-1-9-7 ἐγώ
32-1-9-8 εἰμι,
32-1-9-9 καὶ
32-1-9-10 τὸν
32-1-9-11 Κύριον
32-1-9-12 θεὸν
32-1-9-13 τοῦ
32-1-9-14 οὐρανοῦ
32-1-9-15 ἐγὼ
32-1-9-16 σέβομαι,
32-1-9-17 ὃς
32-1-9-18 ἐποίησεν
32-1-9-19 τὴν
32-1-9-20 θάλασσαν
32-1-9-21 καὶ
32-1-9-22 τὴν
32-1-9-23 ξηράν.
32-1-10-1 Καὶ
32-1-10-2 ἐφοβήθησαν
32-1-10-3 οἱ
32-1-10-4 ἄνδρες
32-1-10-5 φόβον
32-1-10-6 μέγαν,
32-1-10-7 καὶ
32-1-10-8 εἶπαν
32-1-10-9 πρὸς
32-1-10-10 αὐτόν·
32-1-10-11 τί
32-1-10-12 τοῦτο
32-1-10-13 ἐποίησας;
32-1-10-14 διότι
32-1-10-15 ἔγνωσαν
32-1-10-16 οἱ
32-1-10-17 ἄνδρες,
32-1-10-18 ὅτι
32-1-10-19 ἐκ
32-1-10-20 προσώπου
32-1-10-21 Κυρίου
32-1-10-22 ἦν
32-1-10-23 φεύγων,
32-1-10-24 ὅτι
32-1-10-25 ἀπήγγειλεν
32-1-10-26 αὐτοῖς.
32-1-11-1 Καὶ
32-1-11-2 εἶπαν
32-1-11-3 πρὸς
32-1-11-4 αὐτόν·
32-1-11-5 τί
32-1-11-6 σοι
32-1-11-7 ποιήσομεν,
32-1-11-8 καὶ
32-1-11-9 κοπάσει
32-1-11-10 ἡ
32-1-11-11 θάλασσα
32-1-11-12 ἀφ’
32-1-11-13 ἡμῶν;
32-1-11-14 ὅτι
32-1-11-15 ἡ
32-1-11-16 θάλασσα
32-1-11-17 ἐπωρύετο
32-1-11-18 καὶ
32-1-11-19 ἐξήγειρεν
32-1-11-20 μᾶλλον
32-1-11-21 κλύδωνα.
32-1-12-1 Καὶ
32-1-12-2 εἶπεν
32-1-12-3 Ἰωνᾶς
32-1-12-4 πρὸς
32-1-12-5 αὐτούς·
32-1-12-6 ἄρατέ
32-1-12-7 με,
32-1-12-8 καὶ
32-1-12-9 ἐμβάλετέ
32-1-12-10 με
32-1-12-11 εἰς
32-1-12-12 τὴν
32-1-12-13 θάλασσαν,
32-1-12-14 καὶ
32-1-12-15 κοπάσει
32-1-12-16 ἡ
32-1-12-17 θάλασσα
32-1-12-18 ἀφ’
32-1-12-19 ὑμῶν·
32-1-12-20 διότι
32-1-12-21 ἔγνωκα
32-1-12-22 ἐγὼ,
32-1-12-23 ὅτι
32-1-12-24 δι’
32-1-12-25 ἐμὲ
32-1-12-26 ὁ
32-1-12-27 κλύδων
32-1-12-28 ὁ
32-1-12-29 μέγας
32-1-12-30 οὗτος
32-1-12-31 ἐφ’
32-1-12-32 ὑμᾶς
32-1-12-33 ἐστίν.
32-1-13-1 Καὶ
32-1-13-2 παρεβιάζοντο
32-1-13-3 οἱ
32-1-13-4 ἄνδρες
32-1-13-5 τοῦ
32-1-13-6 ἐπιστρέψαι
32-1-13-7 πρὸς
32-1-13-8 τὴν
32-1-13-9 γῆν,
32-1-13-10 καὶ
32-1-13-11 οὐκ
32-1-13-12 ἠδύναντο,
32-1-13-13 ὅτι
32-1-13-14 ἡ
32-1-13-15 θάλασσα
32-1-13-16 ἐπορεύετο,
32-1-13-17 καὶ
32-1-13-18 ἐξηγείρετο
32-1-13-19 μᾶλλον
32-1-13-20 ἐπ’
32-1-13-21 αὐτούς.
32-1-14-1 Καὶ
32-1-14-2 ἀνεβόησαν
32-1-14-3 πρὸς
32-1-14-4 Κύριον,
32-1-14-5 καὶ
32-1-14-6 εἶπαν·
32-1-14-7 μηδαμῶς
32-1-14-8 Κύριε,
32-1-14-9 μὴ
32-1-14-10 ἀπολώμεθα
32-1-14-11 ἕνεκεν
32-1-14-12 τῆς
32-1-14-13 ψυχῆς
32-1-14-14 τοῦ
32-1-14-15 ἀνθρώπου
32-1-14-16 τούτου,
32-1-14-17 καὶ
32-1-14-18 μὴ
32-1-14-19 δῷς
32-1-14-20 ἐφ’
32-1-14-21 ἡμᾶς
32-1-14-22 αἷμα
32-1-14-23 δίκαιον,
32-1-14-24 ότι
32-1-14-25 σύ
32-1-14-26 Κύριε,
32-1-14-27 ὃν
32-1-14-28 τρόπον
32-1-14-29 ἐβούλου
32-1-14-30 πεποίηκας.
32-1-15-1 Καὶ
32-1-15-2 ἔλαβον
32-1-15-3 τὸν
32-1-15-4 Ἰωνᾶν,
32-1-15-5 καὶ
32-1-15-6 ἐνέβαλον
32-1-15-7 αὐτὸν
32-1-15-8 εἰς
32-1-15-9 τὴν
32-1-15-10 θάλασσαν,
32-1-15-11 καὶ
32-1-15-12 ἔστη
32-1-15-13 ἡ
32-1-15-14 θάλασσα
32-1-15-15 ἐκ
32-1-15-16 τοῦ
32-1-15-17 σάλου
32-1-15-18 ἐαυτῆς.
32-1-16-1 Καὶ
32-1-16-2 ἐφοβήθησαν
32-1-16-3 οἱ
32-1-16-4 ἄνδρες
32-1-16-5 φόβῳ
